"city"	"landmark"	"address"	"longitude"	"latitude"
"53"	"Berlin"	"Reichstag building - Bundestag"	"Platz der Republik 1, 11011 Berlin, Germany"	13.3761181	52.5186283
"54"	"Berlin"	"Berliner Funkturm"	"Hammarskjöldplatz, 14055 Berlin, Germany"	13.2738917	52.5073039
"55"	"Berlin"	"Siegessäule"	"Großer Stern, 10557 Berlin, Germany"	13.3509795	52.5148573
"56"	"Berlin"	"Kollhoff Tower"	"Kollhoff-Tower, Potsdamer Platz 1, 10785 Berlin, Germany"	13.3751455	52.5089482
"57"	"Berlin"	"Memorial to the Murdered Jews of Europe"	"Cora-Berliner-Straße 1, 10117 Berlin, Germany"	13.37984	52.5138
"58"	"Berlin"	"Berlin Wall Memorial"	"Bernauer Str. 111, 13355 Berlin, Germany"	13.38943	52.53523
"59"	"Berlin"	"Checkpoint Charlie"	"Friedrichstraße 43-45, 10117 Berlin, Germany"	13.3907303	52.5071609
"60"	"Berlin"	"Tempelhof airport"	"Tempelhofer Damm 1-7, 12107 Berlin, Germany"	13.38609	52.4832
"61"	"Berlin"	"Berlin Zoo"	"Hardenbergplatz 8, 10787 Berlin, Germany"	13.3342673	52.5069129
"62"	"Berlin"	"Tierpark Berlin"	"Am Tierpark 125, 10319 Berlin, Germany"	13.52734	52.49626
"63"	"Barcelona"	"Harbour Cable Car"	"Passeig Don Joan Borbó Comte Barcelona, S/N, 08039 Barcelona, Spain"	2.1683571	41.3570442
"64"	"Barcelona"	"Templo Barcelona"	"Plaça Reial, 12, 08002 Barcelona, Spain"	2.1757541	41.3800253
"65"	"Barcelona"	"Parc Güell"	"08024 Barcelona, Spain"	2.1585314	41.4123152
"66"	"Barcelona"	"Sagrada Familia"	"Carrer de Mallorca, 401, 08013 Barcelona, Spain"	2.1748507	41.4032029
"67"	"Barcelona"	"Casa Milà"	"Provença, 261-265, 08008 Barcelona, Spain"	2.1620185	41.3953008
"68"	"Barcelona"	"La Casa Batlló"	"Passeig de Gràcia, 43, 08007 Barcelona, Spain"	2.1650169	41.3916837
"69"	"Barcelona"	"Palau Güell"	"Carrer Nou de la Rambla, 3-5, 08001 Barcelona, Spain"	2.1744399	41.3791611
"70"	"Barcelona"	"Torre Bellesguard"	"Carrer de Bellesguard, 16, 08022 Barcelona, Spain"	2.1265247	41.4090519
"71"	"Barcelona"	"Ruta del Modernisme"	"Plaça de Catalunya, 17, 08002 Barcelona, Spain"	2.1714164	41.3866286
"72"	"Barcelona"	"Museu de Ciències Naturals"	"Parc del Fòrum, Museu Blau, Parque del Fórum, Plaza Leonardo da Vinci, 4-5, 08019 Barcelona, Spain"	2.1734035	41.3850639
"73"	"Barcelona"	"Can Framis Museum"	"Carrer de Roc Boronat, 116-126, 08018 Barcelona, Spain"	2.1947612	41.4029624
"74"	"Barcelona"	"CosmoCaixa: Museum of Science"	"Carrer d’Isaac Newton, 26, 08022 Barcelona, Spain"	2.1309682	41.4134729
"75"	"Barcelona"	"Tibidabo Amusement Park "	"Plaça del Tibidabo, 3-4, 08035 Barcelona, Spain"	2.1204969	41.4206148
"76"	"Prague"	"Prague Castle"	"119 08 Praha 1, Czech Republic"	14.4458729	50.0984708
"77"	"Prague"	"Charles Bridge"	"Karlův most, 110 00 Praha 1, Czech Republic"	14.4097584	50.0866797
"78"	"Prague"	"Infant of Prague"	"Karmelitská 385/9, 118 00 Praha 1-Malá Strana, Czech Republic"	14.4040705	50.0857827
"79"	"Prague"	"Loreta"	"Loretánské nám. 100/7, 118 00 Praha, Czech Republic"	14.3915575	50.0892662
"80"	"Prague"	"Strahov Monastery"	"Strahovské nádvoří 1/132, 118 00 Praha 1, Czech Republic"	14.3887817	50.0861185
"81"	"Prague"	"Prague Dancing House"	"Jiráskovo nám. 1981/6, 120 00 Praha 2, Czech Republic"	14.4141944	50.075451
"82"	"Prague"	"Vyšehrad"	"V Pevnosti 159/5b, 128 00 Praha 2, Czech Republic"	14.4229926	50.0629625
"83"	"Prague"	"Petřínská rozhledna"	"Petřínské sady, 118 00 Praha 1, Czech Republic"	14.3990278	50.0825005
"84"	"Prague"	"Prague Giant Metronome"	"Nábřeží Edvarda Beneše, 118 00 Praha 1, Czech Republic"	14.4100719	50.0916131
"85"	"Prague"	"Memorial to the 1989 Velvet Revolution"	"Národní 118/16, 110 00 Praha 1-Nové Město, Czech Republic"	14.4179277	50.0819173
"86"	"Prague"	"Prague Zoo"	"U Trojského zámku 3/120, 171 00 Praha 7, Czech Republic"	14.4111405	50.1160454
"87"	"Prague"	"Vitkov Hill"	"U památníku 1900, 130 00 Praha, Czech Republic"	14.4500316	50.0885394
"88"	"Prague"	"Czech National Gallery"	"Staroměstské nám. 12, 110 15 Praha 1, Czech Republic"	14.421624	50.0878624
"89"	"Prague"	"Czech National Museum"	"Václavské nám. 68, 115 79 Praha 1, Czech Republic"	14.4304172	50.0798433
"90"	"Prague"	"Prague City Gallery"	"Mariánské nám. 98/1, 110 00 Praha 1-Staré Město, Czech Republic"	14.4173879	50.0873831
"91"	"Prague"	"Czech Museum of Fine Arts"	"Husova 229/19, 110 00 Praha, Czech Republic"	14.4177429	50.0858353
"92"	"Prague"	"Museum of Decorative Arts"	"17. listopadu 2, 110 00 Praha, Czech Republic"	14.4160668	50.0897658
"93"	"Prague"	"National Technical Museum"	"Kostelní 1320/42, 170 78 Praha 7, Czech Republic"	14.425138	50.0970003
"94"	"Prague"	"Military Museum"	"U Památníku 1600/2, 130 00 Praha 3-Žižkov, Czech Republic"	14.4449891	50.0873516
"95"	"Prague"	"Jewish Museum"	"U Staré školy 141/1, 110 00 Praha 1, Czech Republic"	14.4211202	50.09035
"96"	"Prague"	"Mozart and Dušek Museum"	"Mozartova 129, 150 00 Praha 5, Czech Republic"	14.3970226	50.0716796
"97"	"Prague"	"Prague City Museum"	"Na Poříčí 1554/52, 186 00 Praha 8-Nové Město, Czech Republic"	14.4383215	50.0899293
"98"	"Prague"	"Mucha Museum"	"Kaunický Palác, Panská 7, 110 00 Praha 1, Czech Republic"	14.4275809	50.0843524
"99"	"Prague"	"Kafka Museum"	"Cihelná 635/2b, 118 00 Praha 1, Czech Republic"	14.4103086	50.0881279
"100"	"Prague"	"The Pedagogical Comenius Museum"	"Valdštejnská 161/20, 118 00 Praha-Malá Strana, Czech Republic"	14.4052046	50.0905081
"101"	"Prague"	"The Mueller Villa"	"Nad Hradním Vodojemem 642/14, Střešovice, 162 00 Praha 6, Czech Republic"	14.3784601	50.0925873
"102"	"Prague"	"Museum of Communism"	"Na Příkopě 10, 110 00 Praha, Czech Republic"	14.4248557	50.0850016
"103"	"Prague"	"Karel Zeman Museum"	"Saská 80/1, 118 00 Praha 1-Malá Strana, Czech Republic"	14.4075545	50.0869951
"104"	"Prague"	"Lobkowicz Palace"	"Jiřská 3, 119 00 Praha 1, Czech Republic"	14.4038153	50.0915032
"105"	"Prague"	"DOX - Centre for Contemporary Art"	"Poupětova 1, 170 00 Praha 7, Czech Republic"	14.4470411	50.1067812
"106"	"Prague"	"MeetFactory"	"Ke Sklárně 3213/15, 150 00 Praha 5, Czech Republic"	14.4081814	50.0532377
"107"	"Prague"	"Museum Kampa"	"U Sovových mlýnů 2, 118 00 Praha 1, Czech Republic"	14.4084767	50.0840345
"108"	"Prague"	"Jaroslav Fragner Gallery"	"Betlémské nám. 169/5a, 110 00 Praha-Staré Město, Czech Republic"	14.4179062	50.0844866
