city	landmark	address
Prague	Prague Dancing House	Jiráskovo nám. 1981/6, 120 00 Praha 2, Czech Republic
Prague	Vyšehrad	V Pevnosti 159/5b, 128 00 Praha 2, Czech Republic
Prague	Petřínská rozhledna	Petřínské sady, 118 00 Praha 1, Czech Republic
Prague	Prague Giant Metronome	Nábřeží Edvarda Beneše, 118 00 Praha 1, Czech Republic
Prague	Memorial to the 1989 Velvet Revolution	Národní 118/16, 110 00 Praha 1-Nové Město, Czech Republic
Prague	Prague Zoo	U Trojského zámku 3/120, 171 00 Praha 7, Czech Republic
Prague	Vitkov Hill	U památníku 1900, 130 00 Praha, Czech Republic
Prague	Czech National Gallery	Staroměstské nám. 12, 110 15 Praha 1, Czech Republic
Prague	Czech National Museum	Václavské nám. 68, 115 79 Praha 1, Czech Republic
Prague	Prague City Gallery	Mariánské nám. 98/1, 110 00 Praha 1-Staré Město, Czech Republic
Prague	Czech Museum of Fine Arts	Husova 229/19, 110 00 Praha, Czech Republic
Prague	Museum of Decorative Arts	17. listopadu 2, 110 00 Praha, Czech Republic
Prague	National Technical Museum	Kostelní 1320/42, 170 78 Praha 7, Czech Republic
Prague	Military Museum	U Památníku 1600/2, 130 00 Praha 3-Žižkov, Czech Republic
Prague	Jewish Museum	U Staré školy 141/1, 110 00 Praha 1, Czech Republic
Prague	Mozart and Dušek Museum	Mozartova 129, 150 00 Praha 5, Czech Republic
Prague	Prague City Museum	Na Poříčí 1554/52, 186 00 Praha 8-Nové Město, Czech Republic
Prague	Mucha Museum	Kaunický Palác, Panská 7, 110 00 Praha 1, Czech Republic
Prague	Kafka Museum	Cihelná 635/2b, 118 00 Praha 1, Czech Republic
Prague	The Pedagogical Comenius Museum	Valdštejnská 161/20, 118 00 Praha-Malá Strana, Czech Republic
Prague	The Mueller Villa	Nad Hradním Vodojemem 642/14, Střešovice, 162 00 Praha 6, Czech Republic
Prague	Museum of Communism	Na Příkopě 10, 110 00 Praha, Czech Republic
Prague	Karel Zeman Museum	Saská 80/1, 118 00 Praha 1-Malá Strana, Czech Republic
Prague	Lobkowicz Palace	Jiřská 3, 119 00 Praha 1, Czech Republic
Prague	DOX - Centre for Contemporary Art	Poupětova 1, 170 00 Praha 7, Czech Republic
Prague	MeetFactory	Ke Sklárně 3213/15, 150 00 Praha 5, Czech Republic
Prague	Museum Kampa	U Sovových mlýnů 2, 118 00 Praha 1, Czech Republic
Prague	Jaroslav Fragner Gallery	Betlémské nám. 169/5a, 110 00 Praha-Staré Město, Czech Republic
