city	location	station	line	opened
Paris	Aubervilliers, France	Fort d’Aubervilliers	7	10/4/1979
Paris	Paris, France	Franklin D. Roosevelt	1, 9	7/19/1900
Paris	Asnières-sur-Seine, France	Gabriel Péri	13	5/3/1980
Paris	Paris, France	Gaîté	13	1/21/1937
Paris	Bagnolet, France	Gallieni	3	4/2/1971
Paris	Paris, France	Gambetta	3, 3bis	3/27/1905
Paris	Paris, France	Gare d’Austerlitz	5, 10	6/2/1906
Paris	Paris, France	Gare de l’Est	4, 5, 7	11/15/1907
Paris	Paris, France	Gare de Lyon	1, 14	7/19/1900
Paris	Paris, France	Gare du Nord	4, 5	4/21/1908
Paris	Paris, France	George V	1	8/13/1900
Paris	Paris, France	Glacière	6	4/24/1906
Paris	Paris, France	Goncourt	11	4/28/1935
Paris	Paris, France	Grands Boulevards	8, 9	5/5/1931
Paris	Paris, France	Guy Môquet	13	2/26/1911
Paris	Paris, France	Havre – Caumartin	3, 9	10/19/1904
Paris	Pantin, France	Hoche	5	10/12/1942
Paris	Paris, France	Hôtel de Ville	1, 9, 11	7/19/1900
Paris	Paris, France	Invalides	8, 13	7/13/1913
Paris	Paris, France	Jacques Bonsergent	5	12/17/1906
Paris	Paris, France	Jasmin	9	11/8/1922
Paris	Paris, France	Jaurès	2, 5, 7bis	2/23/1903
Paris	Paris, France	Javel – André Citroën	10	9/30/1913
Paris	Paris, France	Jourdain	11	4/28/1935
Paris	Paris, France	Jules Joffrin	12	10/31/1912
Paris	Paris, France	Jussieu	7, 10	4/26/1931
Paris	Paris, France	Kléber	6	10/2/1900
Paris	Paris, France	La Chapelle	2	1/31/1903
Paris	Saint-Denis, France	La Courneuve – 8 Mai 1945	7	5/6/1987
Paris	Puteaux, France	La Défense – Grande Arche	1	4/1/1992
Paris	Paris, France	La Fourche	13	2/26/1911
Paris	Paris, France	La Motte-Picquet – Grenelle	6, 8, 10	4/24/1906
Paris	Paris, France	La Muette	9	11/8/1922
Paris	Paris, France	La Tour-Maubourg	8	7/13/1913
Paris	Paris, France	Lamarck – Caulaincourt	12	10/31/1912
Paris	Paris, France	Laumière	5	10/12/1942
Paris	Le Kremlin-Bicêtre, France	Le Kremlin-Bicêtre	7	10/10/1982
Paris	Paris, France	Le Peletier	7	6/6/1911
Paris	Paris, France	Ledru-Rollin	8	5/5/1931
Paris	Gennevilliers, France	Les Agnettes	13	6/14/2000
Paris	Paris, France	Les Gobelins	7	2/15/1930
Paris	Paris, France	Les Halles	4	4/21/1908
Paris	Neuilly-sur-Seine, France	Les Sablons	1	4/29/1937
Paris	Charenton-le-Pont, France	Liberté	8	10/5/1942
Paris	Paris, France	Liège	13	2/26/1911
Paris	Paris, France	Louis Blanc	7, 7bis	11/23/1910
Paris	Levallois-Perret, France	Louise Michel	3	9/24/1937
Paris	Paris, France	Lourmel	8	7/27/1937
Paris	Paris, France	Louvre – Rivoli	1	8/13/1900
Paris	Paris, France	Mabillon	10	3/10/1925
Paris	Paris, France	Madeleine	8, 12, 14	11/5/1910
Paris	Issy-les-Moulineaux, France	Mairie d’Issy	12	3/24/1934
Paris	Ivry-sur-Seine, France	Mairie d’Ivry	7	5/1/1946
Paris	Clichy, France	Mairie de Clichy	13	5/3/1980
Paris	Montreuil, France	Mairie de Montreuil	9	10/14/1937
Paris	Montrouge, France	Mairie de Montrouge	4	3/23/2013
Paris	Saint-Ouen, France	Mairie de Saint-Ouen	13	6/30/1952
Paris	Les Lilas, France	Mairie des Lilas	11	2/17/1937
Paris	Paris, France	Maison Blanche	7	3/7/1930
Paris	Maisons-Alfort, France	Maisons-Alfort – Les Juilliottes	8	4/24/1972
Paris	Maisons-Alfort, France	Maisons-Alfort – Stade	8	9/19/1970
Paris	Malakoff, France	Malakoff – Plateau de Vanves	13	11/9/1976
Paris	Malakoff, France	Malakoff – Rue Étienne Dolet	13	11/9/1976
Paris	Paris, France	Malesherbes	3	5/23/1910
Paris	Paris, France	Maraîchers	9	12/10/1933
Paris	Paris, France	Marcadet – Poissonniers	4, 12	4/21/1908
Paris	Boulogne-Billancourt, France	Marcel Sembat	9	2/3/1934
Paris	Paris, France	Marx Dormoy	12	8/23/1916
Paris	Paris, France	Maubert-Mutualité	10	2/15/1930
Paris	Paris, France	Ménilmontant	2	1/31/1903
Paris	Paris, France	Michel Bizot	8	5/5/1931
Paris	Paris, France	Michel-Ange – Auteuil	9, 10	9/30/1913
Paris	Paris, France	Michel-Ange – Molitor	9, 10	9/30/1913
Paris	Paris, France	Mirabeau	10	9/30/1913
Paris	Paris, France	Miromesnil	9, 13	5/27/1923
Paris	Paris, France	Monceau	2	10/7/1902
Paris	Paris, France	Montgallet	8	5/5/1931
Paris	Paris, France	Montparnasse – Bienvenüe	4, 6, 12, 13	4/24/1906
Paris	Paris, France	Mouton-Duvernet	4	10/30/1909
Paris	Paris, France	Nation	1, 2, 6, 9	4/2/1903
Paris	Paris, France	Nationale	6	3/1/1909
Paris	Paris, France	Notre-Dame-de-Lorette	12	11/5/1910
Paris	Paris, France	Notre-Dame-des-Champs	12	11/5/1910
Paris	Paris, France	Oberkampf	5, 9	1/15/1907
Paris	Paris, France	Odéon	4, 10	1/9/1910
Paris	Paris, France	Olympiades	14	6/26/2007
Paris	Paris, France	Opéra	7, 8	11/5/1910
Paris	Paris, France	Ourcq	5	3/21/1947
Paris	Paris, France	Palais Royal – Musée du Louvre	1, 7	7/19/1900
Paris	Paris, France	Parmentier	3	10/19/1904
Paris	Paris, France	Passy	6	11/6/1903
Paris	Paris, France	Pasteur	6, 12	4/24/1906
Paris	Paris, France	Pelleport	3bis	11/27/1921
Paris	Paris, France	Père Lachaise	2, 3	2/25/1903
Paris	Paris, France	Pereire	3	5/23/1910
Paris	Paris, France	Pernety	13	1/21/1937
Paris	Paris, France	Philippe Auguste	2	1/31/1903
Paris	Paris, France	Picpus	6	3/1/1909
Paris	Ivry-sur-Seine, France	Pierre et Marie Curie	7	5/1/1946
Paris	Paris, France	Pigalle	2, 12	10/7/1902
Paris	Paris, France	Place d’Italie	5, 6, 7	4/24/1906
Paris	Paris, France	Place de Clichy	2, 13	10/7/1902
Paris	Paris, France	Place des Fêtes	7bis, 11	7/18/1911
Paris	Paris, France	Place Monge	7	2/15/1930
Paris	Paris, France	Plaisance	13	1/21/1937
Paris	Créteil, France	Pointe du Lac	8	10/8/2011
Paris	Paris, France	Poissonnière	7	11/5/1910
Paris	Levallois-Perret, France	Pont de Levallois – Bécon	3	9/24/1937
Paris	Neuilly-sur-Seine, France	Pont de Neuilly	1	4/29/1937
Paris	Boulogne-Billancourt, France	Pont de Sèvres	9	2/3/1934
Paris	Paris, France	Pont Marie	7	4/16/1926
Paris	Paris, France	Pont Neuf	7	4/16/1926
Paris	Paris, France	Porte d’Auteuil	10	9/30/1913
Paris	Paris, France	Porte d’Italie	7	3/7/1930
Paris	Paris, France	Porte d’Ivry	7	4/26/1931
Paris	Paris, France	Porte d’Orléans	4	10/30/1909
Paris	Paris, France	Porte Dauphine	2	12/13/1900
Paris	Paris, France	Porte de Bagnolet	3	4/2/1971
Paris	Paris, France	Porte de Champerret	3	2/15/1911
Paris	Paris, France	Porte de Charenton	8	5/5/1931
Paris	Paris, France	Porte de Choisy	7	3/7/1930
Paris	Paris, France	Porte de Clichy	13	1/20/1912
Paris	Paris, France	Porte de Clignancourt	4	4/21/1908
Paris	Paris, France	Porte de la Chapelle	12	8/23/1916
Paris	Paris, France	Porte de la Villette	7	11/5/1910
Paris	Paris, France	Porte de Montreuil	9	12/10/1933
Paris	Paris, France	Porte de Pantin	5	10/12/1942
Paris	Paris, France	Porte de Saint-Cloud	9	9/29/1923
Paris	Paris, France	Porte de Saint-Ouen	13	2/26/1911
Paris	Paris, France	Porte de Vanves	13	1/21/1937
Paris	Paris, France	Porte de Versailles	12	11/5/1910
Paris	Paris, France	Porte de Vincennes	1	7/19/1900
Paris	Paris, France	Porte des Lilas	3bis, 11	11/27/1921
Paris	Paris, France	Porte Dorée	8	5/5/1931
Paris	Paris, France	Porte Maillot	1	7/19/1900
Paris	Paris, France	Pré Saint-Gervais	7bis	1/18/1911
Paris	Paris, France	Pyramides	7, 14	7/1/1916
Paris	Paris, France	Pyrénées	11	4/28/1935
Paris	Paris, France	Quai de la Gare	6	3/1/1909
Paris	Paris, France	Quai de la Rapée	5	7/13/1906
Paris	Paris, France	Quatre-Septembre	3	11/3/1904
Paris	Paris, France	Rambuteau	11	4/28/1935
Paris	Paris, France	Ranelagh	9	11/8/1922
Paris	Paris, France	Raspail	4, 6	4/24/1906
Paris	Paris, France	Réaumur – Sébastopol	3, 4	10/19/1904
Paris	Paris, France	Rennes	12	11/5/1910
Paris	Paris, France	République	3, 5, 8, 9, 11	10/19/1904
Paris	Paris, France	Reuilly – Diderot	1, 8	8/20/1900
Paris	Paris, France	Richard-Lenoir	5	12/17/1906
Paris	Paris, France	Richelieu – Drouot	8, 9	6/30/1928
Paris	Paris, France	Riquet	7	11/5/1910
Paris	Montreuil, France	Robespierre	9	10/14/1937
Paris	Paris, France	Rome	2	11/6/1902
Paris	Paris, France	Rue de la Pompe	9	11/8/1922
Paris	Paris, France	Rue des Boulets	9	12/10/1933
Paris	Paris, France	Rue du Bac	12	11/5/1910
Paris	Paris, France	Rue Saint-Maur	3	10/19/1904
Paris	Paris, France	Saint-Ambroise	9	12/10/1933
Paris	Paris, France	Saint-Augustin	9	5/27/1923
Paris	Saint-Denis, France	Saint-Denis – Porte de Paris	13	5/26/1976
Paris	Saint-Denis, France	Saint-Denis – Université	13	5/25/1998
Paris	Paris, France	Saint-Fargeau	3bis	11/27/1921
Paris	Paris, France	Saint-François-Xavier	13	12/30/1923
Paris	Paris, France	Saint-Georges	12	4/8/1911
Paris	Paris, France	Saint-Germain-des-Prés	4	1/9/1910
Paris	Paris, France	Saint-Jacques	6	4/24/1906
Paris	Paris, France	Saint-Lazare	3, 12, 13, 14	10/19/1904
Paris	Saint-Mandé, France	Saint-Mandé	1	3/24/1934
Paris	Paris, France	Saint-Marcel	5	6/2/1906
Paris	Paris, France	Saint-Michel	4	9/9/1910
Paris	Paris, France	Saint-Paul	1	8/6/1900
Paris	Paris, France	Saint-Philippe du Roule	9	5/27/1923
Paris	Paris, France	Saint-Placide	4	1/9/1910
Paris	Paris, France	Saint-Sébastien – Froissart	8	5/5/1931
Paris	Paris, France	Saint-Sulpice	4	1/9/1910
Paris	Paris, France	Ségur	10	7/29/1937
Paris	Paris, France	Sentier	3	11/20/1904
Paris	Paris, France	Sèvres – Babylone	10, 12	11/5/1910
Paris	Paris, France	Sèvres – Lecourbe	6	4/24/1906
Paris	Paris, France	Simplon	4	5/14/1908
Paris	Paris, France	Solférino	12	11/5/1910
Paris	Paris, France	Stalingrad	2, 5, 7	1/31/1903
Paris	Paris, France	Strasbourg – Saint-Denis	4, 8, 9	5/5/1908
Paris	Paris, France	Sully – Morland	7	6/3/1930
Paris	Paris, France	Télégraphe	11	4/28/1935
Paris	Paris, France	Temple	3	10/19/1904
Paris	Paris, France	Ternes	2	10/7/1902
Paris	Paris, France	Tolbiac	7	3/7/1930
Paris	Paris, France	Trinité – d’Estienne d’Orves	12	11/5/1910
Paris	Paris, France	Trocadéro	6, 9	10/2/1900
Paris	Paris, France	Tuileries	1	7/19/1900
Paris	Paris, France	Vaneau	10	12/30/1923
Paris	Paris, France	Varenne	13	12/30/1923
Paris	Paris, France	Vaugirard	12	11/5/1910
Paris	Paris, France	Vavin	4	1/9/1910
Paris	Paris, France	Victor Hugo	2	12/13/1900
Paris	Villejuif, France	Villejuif – Léo Lagrange	7	2/28/1985
Paris	Villejuif, France	Villejuif – Louis Aragon	7	2/28/1985
Paris	Villejuif, France	Villejuif – Paul Vaillant-Couturier	7	2/28/1985
Paris	Paris, France	Villiers	2, 3	10/19/1904
Paris	Paris, France	Volontaires	12	11/5/1910
Paris	Paris, France	Voltaire	9	12/10/1933
Paris	Paris, France	Wagram	3	5/23/1910
Prague	Prague, Czech Republic	Anděl	B	11/2/1985
Prague	Prague, Czech Republic	Bořislavka	A	4/6/2015
Prague	Prague, Czech Republic	Budějovická	C	5/9/1974
Prague	Prague, Czech Republic	Černý Most	B	11/8/1998
Prague	Prague, Czech Republic	Českomoravská	B	11/22/1990
Prague	Prague, Czech Republic	Chodov	C	11/11/1980
Prague	Prague, Czech Republic	Dejvická	A	8/12/1978
Prague	Prague, Czech Republic	Depo Hostivař	A	5/26/2006
Prague	Prague, Czech Republic	Flora	A	12/19/1980
Prague	Prague, Czech Republic	Florenc	B, C	5/9/1974
Prague	Prague, Czech Republic	Háje	C	11/11/1980
Prague	Prague, Czech Republic	Hlavní nádraží	C	5/9/1974
Prague	Prague, Czech Republic	Hloubětín	B	6/8/1999
Prague	Prague, Czech Republic	Hradčanská	A	8/12/1978
Prague	Prague, Czech Republic	Hůrka	B	11/11/1994
Prague	Prague, Czech Republic	I.P.Pavlova	C	5/9/1974
Prague	Prague, Czech Republic	Invalidovna	B	11/22/1990
Prague	Prague, Czech Republic	Jinonice	B	10/26/1988
Prague	Prague, Czech Republic	Jiřího z Poděbrad	A	12/19/1980
Prague	Prague, Czech Republic	Kačerov	C	5/9/1974
Prague	Prague, Czech Republic	Karlovo náměstí	B	11/2/1985
Prague	Prague, Czech Republic	Kobylisy	C	6/26/2004
Prague	Prague, Czech Republic	Kolbenova	B	6/26/2001
Prague	Prague, Czech Republic	Křižíkova	B	11/22/1990
Prague	Prague, Czech Republic	Ládví	C	6/26/2004
Prague	Prague, Czech Republic	Letňany	C	5/8/2008
Prague	Prague, Czech Republic	Luka	B	11/11/1994
Prague	Prague, Czech Republic	Lužiny	B	11/11/1994
Prague	Prague, Czech Republic	Malostranská	A	8/12/1978
Prague	Prague, Czech Republic	Můstek	A, A	8/12/1978
Prague	Prague, Czech Republic	Muzeum	A, C	5/9/1974
Prague	Prague, Czech Republic	Nádraží Holešovice	C	11/3/1984
Prague	Prague, Czech Republic	Nádraží Veleslavín	A	4/6/2015
Prague	Prague, Czech Republic	Náměstí Míru	A	8/12/1978
Prague	Prague, Czech Republic	Náměstí Republiky	B	11/2/1985
Prague	Prague, Czech Republic	Národní třída	B	11/2/1985
Prague	Prague, Czech Republic	Nemocnice Motol	A	4/6/2015
Prague	Prague, Czech Republic	Nové Butovice	B	10/26/1988
Prague	Prague, Czech Republic	Opatov	C	11/11/1980
Prague	Prague, Czech Republic	Palmovka	B	11/22/1990
Prague	Prague, Czech Republic	Pankrác	C	5/9/1974
Prague	Prague, Czech Republic	Petřiny	A	4/6/2015
Prague	Prague, Czech Republic	Pražského povstání	C	5/9/1974
Prague	Prague, Czech Republic	Prosek	C	5/8/2008
Prague	Prague, Czech Republic	Radlická	B	10/26/1988
Prague	Prague, Czech Republic	Rajská zahrada	B	11/8/1998
Prague	Prague, Czech Republic	Roztyly	C	11/11/1980
Prague	Prague, Czech Republic	Skalka	A	11/4/1990
Prague	Prague, Czech Republic	Smíchovské nádraží	B	11/2/1985
Prague	Prague, Czech Republic	Staroměstská	A	8/12/1978
Prague	Prague, Czech Republic	Stodůlky	B	11/11/1994
Prague	Prague, Czech Republic	Strašnická	A	11/11/1987
Prague	Prague, Czech Republic	Střížkov	C	5/8/2008
Prague	Prague, Czech Republic	Vltavská	C	11/3/1984
Prague	Prague, Czech Republic	Vyšehrad	C	5/9/1974
Prague	Prague, Czech Republic	Vysočanská	B	11/8/1998
Prague	Prague, Czech Republic	Želivského	A	12/19/1980
Prague	Prague, Czech Republic	Zličín	B	11/11/1994
