city	location	station	line	opened
Barcelona	Barelona, Spain	Onze de Setembre	L9, L10	NA/NA/2010
Barcelona	Barelona, Spain	Pàdua	L7	NA/NA/1953
Barcelona	Barelona, Spain	Palau Reial	L3	NA/NA/1975
Barcelona	Barelona, Spain	Paral·lel	L2, L3	NA/NA/1970
Barcelona	Barelona, Spain	Parc de Montjuïc	Funicular de Montjuïc	NA/NA/1928
Barcelona	Barelona, Spain	Parc Logístic	L9	NA/NA/2016
Barcelona	Barelona, Spain	Parc Nou	L9	NA/NA/2016
Barcelona	Barelona, Spain	Passeig de Gràcia	L2, L3, L4	NA/NA/1924
Barcelona	Barelona, Spain	Penitents	L3	NA/NA/1985
Barcelona	Barelona, Spain	Pep Ventura	L2	NA/NA/1985
Barcelona	Barelona, Spain	Plaça de Sants	L1, L5	NA/NA/1926
Barcelona	Barelona, Spain	Plaça del Centre	L3	NA/NA/1975
Barcelona	Barelona, Spain	Plaça Molina	L7	NA/NA/1953
Barcelona	Barelona, Spain	Poble Sec	L3	NA/NA/1975
Barcelona	Barelona, Spain	Poblenou	L4	NA/NA/1977
Barcelona	Barelona, Spain	Provença	L6, L7	NA/NA/1929
Barcelona	Barelona, Spain	Pubilla Cases	L5	NA/NA/1973
Barcelona	Barelona, Spain	Rambla Just Oliveras	L1	NA/NA/1987
Barcelona	Barelona, Spain	Reina Elisenda	L6	NA/NA/1976
Barcelona	Barelona, Spain	Rocafort Station	L1	NA/NA/1926
Barcelona	Barelona, Spain	Roquetes Station	L3	NA/NA/2008
Barcelona	Barelona, Spain	Sagrada Família	L2, L5	NA/NA/1970
Barcelona	Barelona, Spain	Sagrera	L1, L5, L4, L9, L10	NA/NA/1954
Barcelona	Barelona, Spain	Sant Andreu	L1	NA/NA/1968
Barcelona	Barelona, Spain	Sant Antoni	L2	NA/NA/1995
Barcelona	Barelona, Spain	Sant Boi	L8	NA/NA/1912
Barcelona	Barelona, Spain	Sant Gervasi	L6	NA/NA/1929
Barcelona	Barelona, Spain	Sant Ildefons	L5	NA/NA/1976
Barcelona	Barelona, Spain	Sant Josep	L8	NA/NA/1985
Barcelona	Barelona, Spain	Sant Martí	L2	NA/NA/1997
Barcelona	Barelona, Spain	Sant Pau – Dos de Maig	L5	NA/NA/1970
Barcelona	Barelona, Spain	Sant Roc	L2	NA/NA/1985
Barcelona	Barelona, Spain	Santa Coloma	L1	NA/NA/1983
Barcelona	Barelona, Spain	Santa Eulàlia	L1	NA/NA/1983
Barcelona	Santa Coloma de Gramenet, Spain	Santa Rosa	L9	NA/NA/2011
Barcelona	Barelona, Spain	Sants Estació	L3, L5	NA/NA/1969
Barcelona	Barelona, Spain	Sarrià	L6	NA/NA/1929
Barcelona	Barelona, Spain	Selva de Mar	L4	NA/NA/1977
Barcelona	Barelona, Spain	Singuerlín	L9	NA/NA/2009
Barcelona	Barelona, Spain	Tetuan	L2	NA/NA/1995
Barcelona	Barelona, Spain	Torras i Bages	L1	NA/NA/1968
Barcelona	Barelona, Spain	Torrassa	L1, L9	NA/NA/1983
Barcelona	Barelona, Spain	Torre Baró-Vallbona	L11	NA/NA/2003
Barcelona	Barelona, Spain	Trinitat Nova	L3, L4, L11	NA/NA/1999
Barcelona	Barelona, Spain	Trinitat Vella	L1	NA/NA/1983
Barcelona	Barelona, Spain	Universitat	L1, L2	NA/NA/1926
Barcelona	Barelona, Spain	Urgell	L1	NA/NA/1926
Barcelona	Barelona, Spain	Urquinaona	L1, L4	NA/NA/1926
Barcelona	Barelona, Spain	Vall d’Hebron	L3, L5	NA/NA/1985
Barcelona	Barelona, Spain	Valldaura	L3	NA/NA/2001
Barcelona	Barelona, Spain	Verdaguer	L4, L5	NA/NA/1970
Barcelona	Barelona, Spain	Verneda	L2	NA/NA/1985
Barcelona	Barelona, Spain	Via Júlia	L4	NA/NA/1982
Barcelona	Barelona, Spain	Vilapicina	L5	NA/NA/1959
Barcelona	Barelona, Spain	Virrei Amat	L5	NA/NA/1959
Barcelona	Barelona, Spain	Zona Universitària	L3, L9	NA/NA/1975
Berlin	Berlin, Germany	Adenauerplatz	U7	4/28/1978
Berlin	Berlin, Germany	Afrikanische Straße	U6	5/3/1956
Berlin	Berlin, Germany	Alexanderplatz	U2	7/1/1913
Berlin	Berlin, Germany	Alt-Mariendorf	U6	2/28/1966
Berlin	Berlin, Germany	Alt-Tegel	U6	5/29/1958
Berlin	Berlin, Germany	Alt-Tempelhof	U6	2/28/1966
Berlin	Berlin, Germany	Altstadt Spandau	U7	10/1/1984
Berlin	Berlin, Germany	Amrumer Straße	U9	8/28/1961
Berlin	Berlin, Germany	Augsburger Straße	U3	5/8/1961
Berlin	Berlin, Germany	Bayerischer Platz	U4	12/1/1910
Berlin	Berlin, Germany	Berliner Straße	U7	1/29/1971
Berlin	Berlin, Germany	Bernauer Straße	U8	4/18/1930
Berlin	Berlin, Germany	Biesdorf-Süd	U5	7/1/1988
Berlin	Berlin, Germany	Birkenstraße	U9	1/28/1961
Berlin	Berlin, Germany	Bismarckstraße	U2	4/28/1978
Berlin	Berlin, Germany	Blaschkoallee	U7	9/28/1963
Berlin	Berlin, Germany	Blissestraße	U7	1/29/1971
Berlin	Berlin, Germany	Boddinstraße	U8	7/17/1927
Berlin	Berlin, Germany	Borsigwerke	U6	5/31/1958
Berlin	Berlin, Germany	Brandenburger Tor	U55	8/8/2009
Berlin	Berlin, Germany	Breitenbachplatz	U3	10/12/1913
Berlin	Britz, Germany	Britz-Süd	U7	9/29/1963
Berlin	Berlin, Germany	Bülowstraße	U2	3/11/1902
Berlin	Berlin, Germany	Bundesplatz	U9	1/29/1971
Berlin	Berlin, Germany	Bundestag	U55	8/8/2009
Berlin	Berlin, Germany	Cottbusser Platz	U5	7/1/1989
Berlin	Berlin, Germany	Dahlem-Dorf	U3	10/12/1913
Berlin	Berlin, Germany	Deutsche Oper	U2	5/14/1906
Berlin	Berlin, Germany	Eberswalder Straße	U2	7/27/1913
Berlin	Berlin, Germany	Eisenacher Straße	U7	1/29/1971
Berlin	Berlin, Germany	Elsterwerdaer Platz	U5	7/21/1988
Berlin	Berlin, Germany	Ernst-Reuter-Platz	U2	12/14/1902
Berlin	Berlin, Germany	Fehrbelliner Platz	U3	10/12/1913
Berlin	Berlin, Germany	Frankfurter Allee	U5	12/21/1930
Berlin	Berlin, Germany	Frankfurter Tor	U5	12/21/1930
Berlin	Berlin, Germany	Franz-Neumann-Platz	U8	4/27/1987
Berlin	Berlin, Germany	Französische Straße	U6	1/30/1923
Berlin	Berlin, Germany	Friedrich-Wilhelm-Platz	U9	1/29/1971
Berlin	Berlin, Germany	Friedrichsfelde	U5	12/21/1930
Berlin	Berlin, Germany	Friedrichstraße	U6	1/30/1923
Berlin	Berlin, Germany	Gesundbrunnen	U8	4/18/1930
Berlin	Berlin, Germany	Gleisdreieck	U1	11/3/1912
Berlin	Berlin, Germany	Gneisenaustraße	U7	4/19/1924
Berlin	Berlin, Germany	Görlitzer Bahnhof	U1	2/18/1902
Berlin	Berlin, Germany	Grenzallee	U7	12/21/1930
Berlin	Berlin, Germany	Güntzelstraße	U9	1/29/1971
Berlin	Berlin, Germany	Halemweg	U7	10/1/1980
Berlin	Kreuzberg, Germany	Hallesches Tor	U1	2/18/1902
Berlin	Berlin, Germany	Hansaplatz	U9	8/28/1961
Berlin	Berlin, Germany	Haselhorst	U7	10/1/1984
Berlin	Berlin, Germany	Hauptbahnhof	U55	8/8/2009
Berlin	Berlin, Germany	Hausvogteiplatz	U2	10/1/1908
Berlin	Berlin, Germany	Heidelberger Platz	U3	10/12/1913
Berlin	Berlin, Germany	Heinrich-Heine-Straße	U8	4/6/1928
Berlin	Berlin, Germany	Hellersdorf	U5	7/1/1989
Berlin	Berlin, Germany	Hermannplatz	U7	4/11/1926
Berlin	Berlin, Germany	Hermannstraße	U8	7/13/1996
Berlin	Berlin, Germany	Hohenzollernplatz	U3	10/12/1913
Berlin	Berlin, Germany	Holzhauser Straße	U6	5/31/1958
Berlin	Berlin, Germany	Hönow	U5	7/1/1989
Berlin	Berlin, Germany	Innsbrucker Platz	U4	12/1/1910
Berlin	Berlin, Germany	Jakob-Kaiser-Platz	U7	10/1/1980
Berlin	Berlin, Germany	Jannowitzbrücke	U8	4/18/1930
Berlin	Berlin, Germany	Johannisthaler Chaussee	U7	1/2/1970
Berlin	Berlin, Germany	Jungfernheide	U7	10/1/1980
Berlin	Berlin, Germany	Kaiserdamm	U2	3/29/1908
Berlin	Berlin, Germany	Kaiserin-Augusta-Straße	U6	2/28/1966
Berlin	Berlin, Germany	Karl-Bonhoeffer-Nervenklinik	U8	9/24/1994
Berlin	Berlin, Germany	Karl-Marx-Straße	U7	4/11/1926
Berlin	Berlin, Germany	Kaulsdorf-Nord	U5	7/1/1989
Berlin	Berlin, Germany	Kleistpark	U7	1/29/1971
Berlin	Berlin, Germany	Klosterstraße	U2	7/1/1913
Berlin	Berlin, Germany	Kochstraße	U6	1/30/1923
Berlin	Berlin, Germany	Konstanzer Straße	U7	4/28/1978
Berlin	Berlin, Germany	Kottbusser Tor	U1	2/18/1902
Berlin	Berlin, Germany	Krumme Lanke	U3	12/22/1929
Berlin	Berlin, Germany	Kurfürstendamm	U1	9/2/1961
Berlin	Berlin, Germany	Kurfürstenstraße	U1	10/26/1926
Berlin	Reinickendorf, Germany	Kurt-Schumacher-Platz	U6	5/3/1956
Berlin	Berlin, Germany	Leinestraße	U8	8/4/1929
Berlin	Berlin, Germany	Leopoldplatz	U6	3/8/1923
Berlin	Berlin, Germany	Lichtenberg	U5	12/21/1930
Berlin	Berlin, Germany	Lindauer Allee	U8	9/24/1994
Berlin	Berlin, Germany	Lipschitzallee	U7	1/2/1970
Berlin	Berlin, Germany	Louis-Lewin-Straße	U5	7/1/1989
Berlin	Berlin, Germany	Magdalenenstraße	U5	12/21/1930
Berlin	Berlin, Germany	Märkisches Museum	U2	7/1/1913
Berlin	Berlin, Germany	Mehringdamm	U6	4/7/1924
Berlin	Tiergarten, Germany	Mendelssohn-Bartholdy-Park	U2	10/2/1998
Berlin	Berlin, Germany	Mierendorffplatz	U7	10/1/1980
Berlin	Berlin, Germany	Möckernbrücke	U1	2/18/1902
Berlin	Berlin, Germany	Mohrenstraße	U2	10/1/1908
Berlin	Berlin, Germany	Moritzplatz	U8	4/6/1928
Berlin	Berlin, Germany	Naturkundemuseum	U6	1/30/1923
